title,location,land_size,total_price
Land For Sale In Kurunegala,"Kurunegala , Kurunegala",15 Perches,"3,675,000"
Land For Sale In Bandaragama,"Kalutara , Bandaragama",60 Perches,"13,500,000"
Land For Sale In Dodangoda,"Kalutara , Dodangoda",10 Perches,"5,750,000"
Land For Sale In Panadura,"Kalutara , Panadura",6 Perches,"4,050,000"
Land For Sale In Marawila,"Puttalam , Marawila",12.5 Perches,"8,125,000"
Land For Sale In Hanwella,"Colombo , Hanwella",12 Perches,"11,760,000"
Land For Sale In Ratmalana,"Colombo , Ratmalana",9 Perches,"14,000,000"
Land For Sale In Kosgama,"Colombo , Kosgama",158 Perches,"13,430,000"
Land For Sale In Deraniyagala,"Kegalle , Deraniyagala",1.75 Acres,
Land For Sale In Diddeniya,"Kurunegala , Diddeniya",4 Acres,"30,000,000"
Land For Sale In Pilawala,"Kandy , Pilawala",12 Perches,"4,980,000"
Land With House For Sale In Kaduwela,"Colombo , Kaduwela",29.75 Perches,"45,000,000"
Land For Sale In Kurunegala,"Kurunegala , Kurunegala",16 Perches,"4,640,000"
Land For Sale In Narammala,"Kurunegala , Narammala",25 Perches,
Land With House For Sale In Malabe,"Colombo , Malabe",13.2 Perches,
Land For Sale In Bandaragama,"Kalutara , Bandaragama",10 Perches,"3,250,000"
Land For Sale In Horana,"Kalutara , Horana",10 Perches,"3,250,000"
Land For Sale In Kadawatha,"Gampaha , Kadawatha",15 Perches,"9,750,000"
Land For Sale In Horana,"Kalutara , Horana",32 Perches,"6,000,000"
Land For Sale In Homagama,"Colombo , Homagama",10 Perches,"2,800,000"
Land For Sale In Hanwella,"Colombo , Hanwella",10 Perches,"2,500,000"
Get your Home Loan නිවාස ණය පහසුකමක් ලබා ගන්න வீட்டுக்கடன் வசதி கிடைக்கும்,,,
Land For Sale In Kadugannawa,"Kandy , Kadugannawa",5 Acres,"32,500,000"
Land For Sale In Meegoda,"Colombo , Meegoda",7 Perches,"3,325,000"
Land For Sale In Homagama,"Colombo , Homagama",10 Perches,"4,000,000"
Land For Sale In Nittambuwa,"Gampaha , Nittambuwa",10 Perches,"2,800,000"
